Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
89	2.083233942	0.2542	3.016009126	0.0218	2.918901384	0	3.515595126	0.0494	3.18077536	0.0006	3.28988528	0.0706	0.042366667	0.0184	0.000933333	0.0563	0.032033333	0.0194
90	2.083340292	0	3.019564199	0	2.905904177	0.0174	3.531816218	0.003	3.096892422	0.016	3.297751022	0.0836	0.042366667	0.018366667	0.003833333	0.054333333	0.0339	0.033333333
91	2.085446393	0.0004	3.02875245	0	2.812124383	0.0212	3.532794811	0.0258	3.096826367	0.0006	3.30166799	0.0018	0.042433333	0.017233333	0.0072	0.029166667	0.033966667	0.0292
92	2.087241765	0.0002	3.019416424	0.0094	2.820214774	0.0096	3.541925009	0.083	3.091994626	0.001	3.305375246	0.0808	0.042466667	0.006366667	0.008733333	0.041066667	0.003066667	0.0423
93	2.086462894	0	3.021208282	0	2.874485626	0.0138	3.540557191	0	3.074302668	0.0904	3.297247045	0.0404	0.042466667	0.0052	0.0104	0.026866667	0.018133333	0.049033333
94	2.082807396	0.0008	3.000695762	0.0214	2.878618246	0.0006	3.53287243	0.0004	3.073509535	0	3.289366834	0.0004	0.0426	0.008766667	0.010433333	0.026933333	0.0181	0.046266667
95	2.081542406	0	3.002334933	0	2.878506147	0.0002	3.484466344	0.0284	3.077911695	0	3.2948616	0.0662	0.000233333	0.005133333	0.010466667	0.023433333	0.018	0.045533333
96	2.080131508	0	3.00097917	0	2.874039594	0.0002	3.478885698	0.0006	3.080360447	0.005	3.336282211	0.0068	0.000233333	0.005133333	0.0076	0.023033333	0.016166667	0.032733333
97	2.07863297	0	2.97109347	0.002	2.842293287	0.004	3.478716415	0.0022	3.083954908	0.0036	3.330165914	0.0002	0.000166667	0.005466667	0.004733333	0.0191	0.016666667	0.032466667
98	2.077803413	0	2.970030662	0	2.84455311	0.0002	3.477584716	0.0006	3.083375233	0.0054	3.330027061	0	0.000133333	0.0039	0.003166667	0.005366667	0.0174	0.019
99	2.076947175	0.0004	2.9600915	0.0104	2.845573518	0	3.468848539	0.038	3.079727442	0.0028	3.32100998	0.0136	0.0002	0.005633333	0.000866667	0.0117	0.0028	0.014533333
