Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
37	5.652381115	2.789445754	7.443201818	2.071050946	5.459274984	2.26183025	6.542532837	2.098835533	7.241661315	3.164273581	7.169097013	2.632956432
38	5.58751305	2.725371817	7.440137454	2.031418401	5.359650975	2.512208868	6.433749842	2.131626071	7.175697426	3.038457184	7.203677313	2.778063918
39	5.536971926	2.672830943	7.358051394	1.879341378	5.326845263	2.453932445	6.225971452	2.000494304	7.186428395	2.967614943	7.137872771	2.756713045
40	5.494990182	2.621142224	7.347430675	1.853802824	5.310251716	2.418479816	6.141350023	1.978642696	7.226877402	2.899707799	7.051308378	2.729657794
41	5.429854669	2.580681279	7.352011447	2.180176209	5.290333562	2.384036913	6.03886411	1.993303422	7.195606483	2.84263968	6.998312943	2.312323468
42	5.377207551	2.554219623	7.361813073	2.169732234	5.266766682	2.3433109	5.942405299	1.920109401	7.112902259	2.505430253	6.695077055	2.039707064
43	5.32661562	2.523544947	7.327218074	2.221823542	5.227390012	2.120812503	5.949276399	1.950362492	7.085706904	2.437350057	6.697181361	1.990716662
44	5.329434257	2.509959033	7.321824345	2.165712022	5.165101218	2.050337929	5.940060948	1.890008917	7.295305342	2.489894376	6.609801315	2.652311459
45	5.341607462	2.531317046	7.301742053	2.212711359	5.175410875	2.030868596	5.583758329	1.903900281	6.733572164	2.968797805	6.452886729	2.364329339
46	5.257989841	2.488965073	7.259841487	2.19536594	5.113955446	1.706121579	5.583307723	1.856996616	6.784446576	3.326782572	6.304806802	2.426656967
47	5.165788056	2.554466086	7.264559832	2.151677161	5.089575118	1.651416947	5.573012807	1.766615891	6.646656749	3.0125962	6.292428645	2.234866233
48	5.085506474	2.509506493	7.251470319	2.16618815	5.037540423	1.666779402	5.56934815	1.724011223	6.606376957	2.995776908	6.266418639	2.344536445
49	3.762464996	2.312799213	7.303504337	2.115829996	5.02389761	1.625507254	5.532371889	1.618286819	6.617150997	2.917452672	6.210032194	2.438547898
50	3.727848747	2.631707199	5.592305746	2.330144703	4.96576121	1.69670603	5.511236816	1.567828487	6.637532734	3.191854147	6.113445745	2.448591513
51	3.69174498	2.603239806	5.60429709	2.354326561	4.962583591	1.611014442	5.515416783	1.554719069	6.668084161	2.880033687	6.068275619	2.657952431
52	3.669285539	2.570327087	5.623217579	2.307171972	4.919930871	1.413805483	5.484086797	1.560346383	6.696748266	2.851095203	6.102371274	2.629566252
53	3.652913878	2.538707195	5.633800562	2.286619998	4.890869829	1.675674895	5.485730038	1.512514736	6.665602859	2.698979186	6.067930369	2.552258443
54	3.632862074	2.512213779	5.631060936	2.256823506	4.896253289	1.644435059	5.416382648	1.513944063	6.671416967	2.681394574	5.840962273	2.540406565
55	3.614808402	2.484137834	5.626831707	2.22562492	4.900881071	1.621292655	5.422393654	1.498101463	6.566575841	2.629836383	5.747891528	2.531104633
56	3.596920533	2.454121538	5.589068453	2.209039537	5.001455169	1.288789438	5.442990273	1.457848417	6.576546267	2.589083069	5.684909517	2.546410425
57	3.640557054	2.426789804	5.591021644	2.067959166	5.051295682	1.343189207	5.420716809	1.429043713	6.554184183	2.571483289	5.688297295	2.520556887
58	3.624144913	2.398631271	5.589787429	2.172785257	5.04622459	1.288389607	5.394514353	1.453238582	6.634529306	2.553720504	5.665323114	2.472525433
59	3.619307619	2.37232484	5.584558541	2.144682455	5.135942927	1.240603819	5.462169989	1.372320454	6.746857093	2.554332866	5.66528454	2.464347243
60	3.508067968	2.347943639	5.531769906	2.179919479	5.129129857	1.227525571	5.505329708	1.317228128	6.78254999	2.532730686	5.65335682	2.435229902
61	3.590536225	2.322497229	5.527785761	2.151247217	5.092563943	1.222950258	5.572120983	1.269606868	6.800680813	2.328728687	5.657515681	2.2036054
62	3.50050756	2.233451152	5.518447941	1.959667622	5.098344539	1.200570821	5.58550171	1.257555186	6.802406723	2.295892685	5.671620354	2.186297601
63	3.393141239	2.216286783	5.557081958	2.047821409	5.269455097	1.196985581	5.583736273	1.245959871	6.813938271	2.260040881	5.663644749	2.145114201
64	3.378179735	2.19415786	5.558348219	2.032901168	5.260537249	1.191607331	5.576399994	1.224627731	6.825838221	2.234142015	5.640712475	2.332001449
65	5.850736773	2.294053501	5.553771649	2.022166591	5.137419243	1.182654167	5.457113852	1.143606717	6.813600183	2.203172854	5.669193274	2.142170062
66	5.606764729	2.272009553	5.556475029	1.999859016	5.126630198	1.19153793	5.526732765	1.148594508	6.80928032	2.140006828	5.684504952	2.134989391
67	5.602944787	2.252182165	5.531572578	1.891347335	5.100909305	1.179220998	5.532664688	1.12944711	6.806135286	2.117521569	5.67806757	2.089459183
68	5.59818942	2.230120972	5.531326422	1.860937293	5.095533326	1.170695011	5.530562732	1.103727004	6.635398785	2.183796881	5.686625706	2.082084142
69	5.589910192	2.206477197	5.532110073	1.837331525	5.090341779	1.151008199	5.527242575	1.09934682	6.636603029	2.144170598	5.661154752	2.074789831
70	5.575495987	2.188773192	5.550837212	1.829677617	5.094577968	1.151909456	5.510116	1.137868395	6.524676928	2.316518208	5.66444612	2.245031075
71	5.567937803	2.168743169	5.553833901	1.79353374	5.089742321	1.130765761	5.511832027	1.128388555	6.381714714	2.317697632	5.631710245	2.239592082
72	5.553205666	2.145473629	5.563295885	1.781097497	5.094095388	1.112727891	5.374246178	1.167102327	6.330751873	2.293648426	5.648656061	2.217206014
73	5.544927024	2.127720761	5.560521739	1.760772911	5.08521077	1.100942492	5.329592667	1.16587216	6.335425951	2.256999378	5.603023725	2.201051912
74	5.537055567	2.112792223	5.521415736	1.778477701	5.07471083	1.129870056	5.329571725	1.148126523	6.32469681	2.099423277	5.58422124	2.182973336
75	5.533525735	2.099706161	5.527062594	1.763713933	5.076927287	1.112777805	5.264628366	1.206039529	6.384817751	2.282072532	5.38378336	2.566373486
76	5.774018201	2.080953651	5.572184597	1.746066371	5.028045121	1.095843891	5.260498478	1.174206313	6.373925209	2.26028467	5.39241412	2.537220792
77	5.771524371	2.066940985	5.57029894	1.74358674	5.026122519	1.081574423	5.368294712	1.203474379	6.375010204	2.237068007	5.389945684	2.512158171
78	5.774103993	2.053484853	5.602354127	1.729459952	5.019221957	1.10442037	5.386903513	1.185227831	6.306379799	2.298591809	5.379702254	2.490991057
79	5.77217482	2.037775958	5.608434224	1.718622925	5.014428691	1.158662228	5.433511375	1.169639313	6.285616687	2.27731202	5.406506778	2.485338733
80	5.768175372	2.019920007	5.597762096	1.706665877	5.155823939	1.406175517	5.437646093	1.154522012	6.27571416	2.259398607	5.409583426	2.534744722
81	5.766949715	2.007249044	5.60290747	1.701308553	5.209335731	1.380680707	5.316897212	1.15153015	6.282833491	2.223508916	5.390948533	2.528191128
82	5.765811058	1.991904908	5.600321699	1.683081221	5.124030799	1.473062494	5.324773232	1.178841623	6.239304221	2.212707302	5.379420604	2.499924781
83	5.765735489	1.978384539	5.591569223	1.68660882	5.169544803	1.523417415	5.371425649	1.165845728	6.22890741	2.18920673	5.368376233	2.482563445
84	5.765292227	1.970070582	5.586830632	1.708152651	5.163939699	1.511468655	5.352026418	1.231329995	6.208126009	2.311967921	5.429069108	2.467469353
85	5.762067029	1.962771043	5.586231474	1.69482311	5.044297989	1.552600817	5.431442747	1.207285717	6.270860755	2.293254629	5.424383333	2.44840596
86	5.753557825	1.825320004	5.598725679	1.682000096	5.061979505	1.53799391	5.427157605	1.182249341	6.290219361	2.278321403	5.412607879	2.434422131
87	5.891775722	1.809984953	5.588759305	1.66722446	5.228997697	1.526338156	5.468578411	1.213266052	6.296693804	2.260181778	5.466305498	2.405548601
88	5.890941308	1.796286243	5.584584938	1.653418275	5.27536271	1.310215511	5.469311364	1.198681766	6.298061446	2.240947621	5.439689408	2.3908019
89	5.891123662	1.781777419	5.583979216	1.638929411	5.271852487	1.294937172	5.501959442	1.187647159	6.248842429	2.07114667	5.431436864	2.369834197
90	5.89047054	1.769340295	5.579415824	1.624081038	5.255729984	1.284052864	5.515817636	1.250881088	6.25160325	2.056158533	5.437940508	2.281162697
91	5.890624726	1.752467655	5.58049135	1.612304119	5.273908012	1.283331396	5.509025107	1.238868179	6.253080048	2.05331222	5.425635958	2.266004624
92	5.890209448	1.738797488	5.579717407	1.607154116	5.114192298	1.468062047	5.565918638	1.376396329	6.252276593	2.033999307	5.421395937	2.243381374
93	5.890397574	1.724922711	5.580876273	1.642134685	5.103073921	1.438404819	5.593766401	1.381537658	6.252545037	2.015257776	5.536107255	2.321297284
94	5.890455202	1.712084587	5.604440652	1.641896879	5.382885185	1.490334599	5.59747487	1.369550994	6.210674838	2.00980439	5.540636015	2.311655818
95	5.895843497	1.702477533	5.574374042	1.650971997	5.350567995	1.481201839	5.614816416	1.366624493	6.230379573	2.005368423	5.519473265	2.284848348
96	5.894767925	1.689775912	5.593338087	1.643615942	5.302685695	1.52194771	5.626574502	1.347399169	6.234844207	1.985035462	5.580899046	15.24248542
97	5.891319599	1.732819085	5.590627334	1.638065797	5.301740012	1.502935462	5.60680322	1.336952292	6.184789293	1.968663794	5.502923489	15.11615318
98	5.890449968	1.721524462	5.606259528	1.655302251	5.323835179	1.490886909	5.586955778	1.319133468	6.225973971	1.977376135	5.51506734	15.04423541
99	5.889913559	1.671884004	5.583990437	1.64675815	5.346960916	1.479744938	5.546548803	1.30615489	6.231504522	1.969358402	5.514979225	14.96626231
100	6.026191898	2.203757296	5.58350045	1.643077613	5.346829371	1.474122281	5.544315153	1.295429438	6.23884712	1.9621751	5.553599344	14.77545958
101	6.025124459	2.191025393	5.567199157	1.634915973	5.354856937	1.462324352	5.543243609	1.282465206	6.216449726	1.762109087	5.554247397	14.72459648
102	6.024206886	2.178621225	5.570249341	1.624485355	5.376357834	1.4538417	5.551063968	1.265437886	6.228410577	1.752879053	5.533624836	14.66738152
103	6.020178928	2.169973052	5.566082057	1.647967146	5.342711382	1.448320044	5.551542142	1.250353652	6.219392862	1.751118965	5.529176574	14.59848588
104	6.019244649	2.160231371	5.56816141	1.623815517	5.323662297	1.434077377	5.531859622	1.294196423	6.201809851	1.735679106	5.712348729	14.57676976
105	6.017480655	2.14828169	5.569561351	1.617552513	5.365390019	1.434789294	5.565183259	1.299742525	6.191441732	1.697928677	5.757917594	14.51214113
106	6.017420484	2.138296233	5.565108527	1.615023242	4.948880133	1.492561613	5.553882104	1.288972573	6.188484574	1.681275384	5.770807366	14.44218158
107	6.016841643	2.083077612	5.478489507	1.625499741	4.941896226	1.476415549	5.490765729	1.296788917	6.170676356	1.670855207	5.779056982	14.37688628
108	6.015376464	2.069304434	5.486271251	1.610153685	5.393973692	1.47745663	5.493085086	1.279033989	6.169456555	1.656523888	5.778786123	14.30945064
109	6.015092418	2.058782036	5.487676696	1.596364877	5.369020192	1.463611703	5.586257378	1.326504311	6.160281427	1.646824738	5.747156684	14.25716156
110	6.01476607	2.048781756	5.490027597	1.590822866	5.377348502	1.458834855	5.578380423	1.323226879	6.172176144	1.640649707	5.739775104	14.19363547
