Ntrain	Standard2	Symmetricmatern2	Matern2	Standard5	Symmetricmatern5	Matern5	Standard10	Symmetricmatern10	Matern10	Standard15	Symmetricmatern15	Matern15	Standard20	Symmetricmatern20	Matern20	Standard25	Symmetricmatern25	Matern25
81	3.237520317	2.248011598	1.30921814	4.515740409	4.592468989	4.433056958	4.68511029	4.080840643	5.449409169	5.500203229	5.528905738	6.453840634	5.584933758	5.549654864	7.364534503	6.09431686	5.738023882	7.18735437
82	3.24202705	2.24464941	1.305357942	4.473797164	4.584493936	4.386844018	4.598851201	4.073279481	5.513690117	5.44135065	5.563598744	6.5131965	5.646066384	5.489604713	7.227289006	6.181294615	5.669181439	7.083637667
83	3.241144864	2.250489765	1.278511722	4.46276032	4.565528479	4.361512449	4.703620015	4.052694323	5.483535703	5.390794547	5.563674518	6.51065396	5.690908371	5.510216296	7.062854401	6.382634787	5.750204034	7.016125781
84	3.257847184	2.249558745	1.278445792	4.46018186	4.524327997	4.347597066	4.70302897	3.993928864	5.49380449	5.481123372	5.517612794	6.481554921	5.796398731	5.470382975	7.055881577	6.294324365	5.7194534	6.967990904
85	3.297420296	2.250243927	1.279789555	4.451959793	4.502764192	4.301274888	4.527652107	3.984556097	5.405465909	5.504289302	5.423111357	6.483369519	5.719470252	5.405284401	6.944032406	6.267678164	5.603832981	6.937469214
86	3.309590077	2.265934142	1.274744094	4.420742943	4.508937549	4.276540905	4.486219528	3.974268922	5.297745478	5.530282672	5.514629987	6.461787732	5.661169464	5.35724735	7.053460574	6.24987681	5.559514993	6.907539341
87	3.320506686	2.267178553	1.268482691	4.408584592	4.510414324	4.270599253	4.559384181	4.027602674	5.241262251	5.606664376	5.472117211	6.437461764	5.651626805	5.363206438	6.931414697	6.115857372	5.609388094	6.902757969
88	3.325680103	2.264834176	1.252389538	4.40456321	4.48587308	4.262120806	4.702256044	4.01650513	5.243476023	5.605682944	5.468572411	6.393145919	5.634354485	5.371466957	6.942199992	6.14821163	5.506541696	6.858192435
89	3.328476486	2.251802837	1.245781254	4.412203505	4.488312585	4.221507886	4.645679649	3.981045728	5.250979945	5.646097579	5.413852965	6.427143692	5.604084405	5.311775238	6.860364149	6.110602523	5.501705181	6.787220235
90	3.351938713	2.251728424	1.243724576	4.406231068	4.49693015	4.180941823	4.884922177	3.986671822	5.266980646	5.625631636	5.379418854	6.430966272	5.666446671	5.292511271	6.858231147	6.109703626	5.447842435	6.679954594
91	3.349713485	2.258594737	1.231508337	4.392038059	4.488995129	4.147388078	4.850801761	3.980761586	5.221653931	5.844936166	5.489222454	6.450827008	5.711986572	5.277453902	6.843452301	6.102729124	5.424928588	6.704058667
92	3.387976389	2.243403477	1.225655149	4.372601817	4.455740552	4.123344399	4.891991451	3.916742568	5.227922247	5.897830145	5.470756999	6.478506505	5.71372546	5.285200889	6.893092636	6.170525219	5.429086827	6.687865787
93	3.390826656	2.216016718	1.209743291	4.366701923	4.44986759	4.109426465	4.874640578	3.947973062	5.176932876	5.932904906	5.367373622	6.484097441	5.789770985	5.224298245	6.91290821	6.165692193	5.454864938	6.652061264
94	3.378979584	2.243011713	1.193767369	4.336775551	4.460733639	4.081836126	5.110648608	3.90640963	5.151190224	6.115290619	5.409768511	6.331906677	5.769037042	5.181948085	6.871237163	6.123408481	5.511755714	6.656833264
95	3.380070471	2.244203172	1.176032342	4.311646343	4.445942906	4.041415183	5.127145928	3.91308303	5.091165063	6.007677376	5.392852207	6.242397922	5.73187703	5.202208544	6.816376758	6.046592599	5.580329973	6.621364876
96	3.384709252	2.218725999	1.156038303	4.296174942	4.462961969	4.057979913	5.139422787	3.905667161	5.004246231	6.062653735	5.326343675	6.267417226	5.669187177	5.204397412	6.790987895	6.132934031	5.578994286	6.555912905
97	3.433249723	2.218322501	1.151444384	4.282742608	4.439571153	4.079721868	5.081147665	3.892096025	4.991084085	6.046867168	5.327133515	6.257156852	5.634969469	5.231090955	6.740899962	6.125432584	5.679777999	6.496771401
98	3.431240555	2.212607077	1.146802656	4.26196109	4.450401149	4.039692237	5.115237289	3.897768964	4.983102615	6.102525574	5.325636681	6.080044408	5.681024473	5.166557888	6.6909542	6.147469777	5.606952401	6.4646544
